"id","created_at","session_label","signals_scraped","signals_verified","signals_approved","signals_blocked","crisis_detected","email_sent","errors_encountered"
"45","2026-03-25 04:00:42.98512+00","SCAN-2026-03-25-0900","8","3","3","5","True","True",""
"44","2026-03-25 01:00:41.021347+00","SCAN-2026-03-25-0600","12","3","3","9","True","True",""
"43","2026-03-24 22:00:40.699993+00","SCAN-2026-03-25-0300","12","3","3","9","True","True",""
"42","2026-03-24 19:00:39.584004+00","SCAN-2026-03-25-0000","7","2","2","5","True","True",""
"41","2026-03-24 16:00:41.96227+00","SCAN-2026-03-24-2100","12","2","2","10","True","True",""
"40","2026-03-24 13:00:29.583429+00","SCAN-2026-03-24-1800","12","2","2","10","True","True",""
"39","2026-03-24 10:00:31.965972+00","SCAN-2026-03-24-1500","8","1","1","7","True","True",""
"38","2026-03-24 07:00:33.369425+00","SCAN-2026-03-24-1200","8","2","2","6","True","True",""
"37","2026-03-24 04:00:38.542921+00","SCAN-2026-03-24-0900","8","2","2","6","True","True",""
"36","2026-03-24 01:00:38.459816+00","SCAN-2026-03-24-0600","8","3","3","5","True","True",""
"35","2026-03-23 22:00:34.05423+00","SCAN-2026-03-24-0300","8","2","2","6","True","True",""
"34","2026-03-23 19:00:39.285399+00","SCAN-2026-03-24-0000","12","2","2","8","True","True",""
"33","2026-03-23 16:00:47.476962+00","SCAN-2026-03-23-2100","8","2","2","6","True","True",""
"32","2026-03-23 13:00:42.624112+00","SCAN-2026-03-23-1800","12","3","3","9","True","True",""
"31","2026-03-23 10:00:39.309379+00","SCAN-2026-03-23-1500","12","3","3","9","True","True",""
"30","2026-03-23 07:00:31.791845+00","SCAN-2026-03-23-1200","12","2","2","10","True","True",""
"29","2026-03-23 04:00:41.69269+00","SCAN-2026-03-23-0900","12","3","3","9","True","True",""
"28","2026-03-23 01:00:41.035826+00","SCAN-2026-03-23-0600","12","3","3","9","True","True",""
"27","2026-03-22 22:00:40.805606+00","SCAN-2026-03-23-0300","12","3","3","9","True","True",""
"26","2026-03-22 19:00:41.181819+00","SCAN-2026-03-23-0000","12","3","3","9","True","True",""
"25","2026-03-22 16:00:35.688427+00","SCAN-2026-03-22-2100","8","3","3","5","True","True",""
"24","2026-03-22 13:00:49.441045+00","SCAN-2026-03-22-1800","12","3","3","9","True","True",""
"23","2026-03-22 10:00:40.462618+00","SCAN-2026-03-22-1500","8","3","3","5","True","True",""
"22","2026-03-22 07:00:36.829626+00","SCAN-2026-03-22-1200","8","2","2","6","True","True",""
"21","2026-03-22 04:00:38.84981+00","SCAN-2026-03-22-0900","8","3","3","5","True","True",""
"20","2026-03-22 01:00:44.38703+00","SCAN-2026-03-22-0600","12","3","3","9","True","True",""
"19","2026-03-21 22:00:31.850657+00","SCAN-2026-03-22-0300","12","3","3","9","True","True",""
"18","2026-03-21 19:00:37.249464+00","SCAN-2026-03-22-0000","12","3","3","9","True","True",""
"17","2026-03-21 16:00:35.155304+00","SCAN-2026-03-21-2100","8","3","3","5","True","True",""
"16","2026-03-21 13:00:34.82338+00","SCAN-2026-03-21-1800","12","3","3","9","True","True",""
"15","2026-03-21 10:00:39.967224+00","SCAN-2026-03-21-1500","8","2","2","6","True","True",""
"14","2026-03-21 07:00:39.724067+00","SCAN-2026-03-21-1200","12","3","3","9","True","True",""
"13","2026-03-21 04:00:44.12685+00","SCAN-2026-03-21-0900","12","3","3","9","True","True",""
"12","2026-03-21 01:00:41.194864+00","SCAN-2026-03-21-0600","12","3","3","9","True","True",""
"11","2026-03-20 22:00:38.299449+00","SCAN-2026-03-21-0300","12","3","3","9","True","True",""
"10","2026-03-20 19:00:48.395497+00","SCAN-2026-03-21-0000","12","3","3","9","True","True",""
"9","2026-03-20 16:00:43.965185+00","SCAN-2026-03-20-2100","8","2","2","6","True","True",""
"8","2026-03-20 13:00:43.418894+00","SCAN-2026-03-20-1800","12","3","3","9","True","True",""
"7","2026-03-20 10:58:42.721444+00","SCAN-2026-03-20-CRISIS-IRAN-LEADERSHIP","9","2","2","0","True","False",""
"6","2026-03-20 10:13:15.1066+00","SCAN-2026-03-20-1512","12","3","3","9","True","True",""
"5","2026-03-20 10:09:01.841706+00","SCAN-2026-03-20-1508","12","3","3","9","True","False",""
"4","2026-03-20 10:04:27.185502+00","SCAN-2026-03-20-1503","8","3","3","5","True","False",""
"3","2026-03-20 10:01:02.916598+00","SCAN-2026-03-20-1500","12","3","3","9","True","False",""
"2","2026-03-20 09:51:52.133245+00","SCAN-2026-03-20-1451","12","3","3","9","True","False",""
